x;y;Modulo;Pos
1;0;343;p1
0,5;0,75;343;p2
1;0,75;343;p3
1,5;0,75;343;p4
0,25;1,5;343;p5
0,75;1,5;343;p6
1,25;1,5;343;p7
1,75;1,5;343;p8
0,5;2,8;343;p9
1;2,8;343;p10
1,5;2,8;343;p11
1;0;3412;p1
0,5;0,75;3412;p2
1;0,75;3412;p3
1,5;0,75;3412;p4
0,25;1,5;3412;p5
0,75;1,5;3412;p6
1,25;1,5;3412;p7
1,75;1,5;3412;p8
1;2,1;3412;p9
0,75;2,8;3412;p10
1,25;2,8;3412;p11
1;0;3421;p1
0,5;0,75;3421;p2
1;0,75;3421;p3
1,5;0,75;3421;p4
0,25;1,5;3421;p5
0,75;1,5;3421;p6
1,25;1,5;3421;p7
1,75;1,5;3421;p8
0,75;2,1;3421;p9
1,25;2,1;3421;p10
1;2,8;3421;p11
1;0;352;p1
0,5;0,75;352;p2
1;0,75;352;p3
1,5;0,75;352;p4
0;1,5;352;p5
0,5;1,5;352;p6
1;1,4;352;p7
1,5;1,5;352;p8
2;1,5;352;p9
0,75;2,8;352;p10
1,25;2,8;352;p11
1;0;3511;p1
0,5;0,75;3511;p2
1;0,75;3511;p3
1,5;0,75;3511;p4
0;1,5;3511;p5
0,5;1,5;3511;p6
1;1,4;3511;p7
1,5;1,5;3511;p8
2;1,5;3511;p9
1;2,1;3511;p10
1;2,8;3511;p11
1;0;433;p1
0,25;0,75;433;p2
0,75;0,75;433;p3
1,25;0,75;433;p4
1,75;0,75;433;p5
0,5;1,5;433;p6
1;1,5;433;p7
1,5;1,5;433;p8
0,5;2,8;433;p9
1;2,8;433;p10
1,5;2,8;433;p11
1;0;4312;p1
0,25;0,75;4312;p2
0,75;0,75;4312;p3
1,25;0,75;4312;p4
1,75;0,75;4312;p5
0,5;1,5;4312;p6
1;1,5;4312;p7
1,5;1,5;4312;p8
1;2,1;4312;p9
0,75;2,8;4312;p10
1,25;2,8;4312;p11
1;0;442;p1
0,25;0,75;442;p2
0,75;0,75;442;p3
1,25;0,75;442;p4
1,75;0,75;442;p5
0,25;1,5;442;p6
0,75;1,5;442;p7
1,25;1,5;442;p8
1,75;1,5;442;p9
0,75;2,8;442;p10
1,25;2,8;442;p11
1;0;4141;p1
0,25;0,75;4141;p2
0,75;0,75;4141;p3
1,25;0,75;4141;p4
1,75;0,75;4141;p5
1;1,25;4141;p6
0,25;1,5;4141;p7
0,75;1,5;4141;p8
1,25;1,5;4141;p9
1,75;1,5;4141;p10
1;2,8;4141;p11
1;0;4411;p1
0,25;0,75;4411;p2
0,75;0,75;4411;p3
1,25;0,75;4411;p4
1,75;0,75;4411;p5
0,25;1,5;4411;p6
0,75;1,5;4411;p7
1,25;1,5;4411;p8
1,75;1,5;4411;p9
1;2,1;4411;p10
1;2,8;4411;p11
1;0;4231;p1
0,25;0,75;4231;p2
0,75;0,75;4231;p3
1,25;0,75;4231;p4
1,75;0,75;4231;p5
0,75;1,5;4231;p6
1,25;1,5;4231;p7
0,5;2,1;4231;p8
1;2,1;4231;p9
1,5;2,1;4231;p10
1;2,8;4231;p11
